Date [s],Min:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.119
0.04,323.101
0.06,323.08
0.08,323.065
0.1,323.051
0.12,323.038
0.14,323.029
0.16,323.023
0.18,323.004
0.2,322.982
0.22,322.959
0.24,322.933
0.26,322.905
0.28,322.872
0.3,322.838
0.32,322.802
0.34,322.764
0.36,322.724
0.38,322.682
0.4,322.639
0.42,322.594
0.44,322.547
0.46,322.499
0.48,322.449
0.5,322.398
0.52,322.345
0.54,322.29
0.56,322.234
0.58,322.176
0.6,322.117
0.62,322.056
0.64,321.994
0.66,321.931
0.68,321.867
0.7,321.801
0.72,321.733
0.74,321.664
0.76,321.594
0.78,321.523
0.8,321.451
0.82,321.377
0.84,321.302
0.86,321.225
0.88,321.148
0.9,321.069
0.92,320.99
0.94,320.909
0.96,320.827
0.98,320.745
1,320.66
1.02,320.575
1.04,320.489
1.06,320.401
1.08,320.313
1.1,320.223
1.12,320.131
1.14,320.035
1.16,319.938
1.18,319.837
1.2,319.733
1.22,319.629
1.24,319.525
1.26,319.421
1.28,319.318
1.3,319.215
1.32,319.111
1.34,319.007
1.36,318.903
1.38,318.798
1.4,318.692
1.42,318.584
1.44,318.474
1.46,318.362
1.48,318.249
1.5,318.132
1.52,318.017
1.54,317.906
1.56,317.795
1.58,317.689
1.6,317.584
1.62,317.477
1.64,317.369
1.66,317.263
1.68,317.158
1.7,317.048
1.72,316.929
1.74,316.815
1.76,316.711
1.78,316.612
1.8,316.513
1.82,316.415
1.84,316.322
1.86,316.234
1.88,316.152
1.9,316.075
1.92,315.998
1.94,315.921
1.96,315.842
1.98,315.76
2,315.663
2.02,315.56
2.04,315.454
2.06,315.351
2.08,315.257
2.1,315.184
2.12,315.121
2.14,315.071
2.16,315.02
2.18,314.982
2.2,314.895
2.22,314.809
2.24,314.744
2.26,314.659
2.28,314.572
2.3,314.486
2.32,314.398
2.34,314.305
2.36,314.208
2.38,314.103
2.4,314.006
2.42,313.922
2.44,313.839
2.46,313.741
2.48,313.645
2.5,313.557
2.52,313.477
2.54,313.397
2.56,313.309
2.58,313.212
2.6,313.116
2.62,313.02
2.64,312.922
2.66,312.822
2.68,312.722
2.7,312.627
2.72,312.534
2.74,312.444
2.76,312.355
2.78,312.271
2.8,312.196
2.82,312.137
2.84,312.08
2.86,312.048
2.88,312.031
2.9,312.017
2.92,312.011
2.94,312.014
2.96,312.023
2.98,312.02
3,312.014
3.02,312.006
3.04,311.956
3.06,311.905
3.08,311.868
3.1,311.834
3.12,311.807
3.14,311.779
3.16,311.728
3.18,311.671
3.2,311.602
3.22,311.524
3.24,311.442
3.26,311.362
3.28,311.285
3.3,311.211
3.32,311.149
3.34,311.094
3.36,311.038
3.38,310.993
3.4,310.971
3.42,310.96
3.44,310.951
3.46,310.904
3.48,310.851
3.5,310.81
3.52,310.771
3.54,310.737
3.56,310.664
3.58,310.593
3.6,310.525
3.62,310.46
3.64,310.396
3.66,310.331
3.68,310.266
3.7,310.2
3.72,310.132
3.74,310.061
3.76,309.987
3.78,309.917
3.8,309.85
3.82,309.783
3.84,309.715
3.86,309.647
3.88,309.581
3.9,309.518
3.92,309.462
3.94,309.42
