Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.126
0.04,323.121
0.06,323.119
0.08,323.118
0.1,323.117
0.12,323.116
0.14,323.115
0.16,323.114
0.18,323.113
0.2,323.111
0.22,323.109
0.24,323.107
0.26,323.105
0.28,323.103
0.3,323.101
0.32,323.098
0.34,323.096
0.36,323.093
0.38,323.09
0.4,323.087
0.42,323.083
0.44,323.08
0.46,323.076
0.48,323.073
0.5,323.069
0.52,323.065
0.54,323.06
0.56,323.056
0.58,323.052
0.6,323.047
0.62,323.042
0.64,323.037
0.66,323.032
0.68,323.026
0.7,323.021
0.72,323.015
0.74,323.01
0.76,323.004
0.78,322.997
0.8,322.991
0.82,322.985
0.84,322.978
0.86,322.971
0.88,322.964
0.9,322.957
0.92,322.95
0.94,322.943
0.96,322.935
0.98,322.928
1,322.92
1.02,322.912
1.04,322.904
1.06,322.895
1.08,322.887
1.1,322.879
1.12,322.87
1.14,322.862
1.16,322.853
1.18,322.844
1.2,322.834
1.22,322.824
1.24,322.814
1.26,322.803
1.28,322.793
1.3,322.782
1.32,322.772
1.34,322.762
1.36,322.751
1.38,322.741
1.4,322.73
1.42,322.72
1.44,322.708
1.46,322.697
1.48,322.685
1.5,322.672
1.52,322.659
1.54,322.646
1.56,322.634
1.58,322.622
1.6,322.61
1.62,322.598
1.64,322.586
1.66,322.574
1.68,322.561
1.7,322.548
1.72,322.534
1.74,322.519
1.76,322.504
1.78,322.489
1.8,322.475
1.82,322.46
1.84,322.445
1.86,322.431
1.88,322.417
1.9,322.403
1.92,322.39
1.94,322.376
1.96,322.362
1.98,322.348
2,322.333
2.02,322.317
2.04,322.301
2.06,322.284
2.08,322.267
2.1,322.251
2.12,322.235
2.14,322.22
2.16,322.204
2.18,322.19
2.2,322.174
2.22,322.158
2.24,322.142
2.26,322.125
2.28,322.109
2.3,322.093
2.32,322.079
2.34,322.065
2.36,322.052
2.38,322.038
2.4,322.024
2.42,322.01
2.44,321.994
2.46,321.978
2.48,321.961
2.5,321.943
2.52,321.926
2.54,321.909
2.56,321.893
2.58,321.878
2.6,321.864
2.62,321.851
2.64,321.838
2.66,321.824
2.68,321.811
2.7,321.796
2.72,321.781
2.74,321.765
2.76,321.748
2.78,321.731
2.8,321.713
2.82,321.697
2.84,321.681
2.86,321.665
2.88,321.651
2.9,321.638
2.92,321.625
2.94,321.611
2.96,321.597
2.98,321.583
3,321.567
3.02,321.552
3.04,321.535
3.06,321.518
3.08,321.501
3.1,321.486
3.12,321.471
3.14,321.456
3.16,321.441
3.18,321.427
3.2,321.412
3.22,321.398
3.24,321.383
3.26,321.367
3.28,321.352
3.3,321.336
3.32,321.32
3.34,321.304
3.36,321.288
3.38,321.273
3.4,321.257
3.42,321.243
3.44,321.228
3.46,321.214
3.48,321.199
3.5,321.185
3.52,321.17
3.54,321.154
3.56,321.138
3.58,321.122
3.6,321.107
3.62,321.092
3.64,321.078
3.66,321.064
3.68,321.05
3.7,321.036
3.72,321.021
3.74,321.007
3.76,320.992
3.78,320.976
3.8,320.96
3.82,320.944
3.84,320.928
3.86,320.914
3.88,320.899
3.9,320.885
3.92,320.87
3.94,320.856
3.96,320.841
3.98,320.827
4,320.813
4.02,320.799
4.04,320.784
4.06,320.769
4.08,320.754
4.1,320.738
4.12,320.722
4.14,320.705
4.16,320.69
4.18,320.674
4.2,320.66
4.22,320.646
4.24,320.632
4.26,320.618
4.28,320.604
4.3,320.589
4.32,320.574
4.34,320.559
4.36,320.544
4.38,320.528
4.4,320.512
4.42,320.498
4.44,320.484
4.46,320.471
4.48,320.458
4.5,320.444
4.52,320.431
4.54,320.416
4.56,320.401
4.58,320.386
4.6,320.37
4.62,320.354
4.64,320.338
4.66,320.323
4.68,320.308
4.7,320.294
4.72,320.279
4.74,320.265
4.76,320.251
4.78,320.236
4.8,320.22
4.82,320.205
4.84,320.191
4.86,320.177
4.88,320.163
