date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-7.19935e-09,1.60783e-07,-5.40391e-08,-1.1352e-08,9.48944e-08
0.01,-6.599e-05,-0.000404894,-0.000572265,-0.000344949,-1.4564e-05
0.02,-6.97784e-06,-2.61876e-05,-3.23911e-05,-2.56588e-05,-8.68603e-06
0.03,4.18389e-06,5.24946e-06,3.90533e-06,1.024e-05,4.51247e-06
0.04,5.59581e-08,-1.62342e-07,-7.15153e-06,-3.34316e-06,-9.14994e-07
0.05,3.56816e-06,4.00923e-06,5.4454e-06,5.79267e-06,3.70212e-06
0.06,1.71508e-06,1.8914e-06,6.47369e-07,2.29239e-06,2.72618e-06
0.07,-4.16632e-07,-3.39285e-06,-5.07518e-06,-5.4671e-07,2.67907e-07
0.08,1.66732e-06,2.57335e-06,2.15437e-06,3.17976e-06,1.94797e-06
0.09,1.76429e-07,1.24665e-06,8.47816e-07,7.68259e-07,1.52404e-06
0.1,-3.06403e-07,-1.16645e-06,-8.04016e-07,-4.21009e-07,-9.8268e-09
0.11,8.68149e-07,1.51071e-06,1.87749e-06,1.64649e-06,6.58258e-07
0.12,2.64518e-07,7.48037e-07,1.11305e-06,8.66466e-07,1.52581e-07
0.13,3.26242e-08,5.64226e-07,4.17544e-07,1.44751e-07,-3.67267e-07
0.14,3.86035e-07,3.33527e-07,3.63115e-07,6.04935e-07,4.86972e-07
0.15,4.47702e-07,4.93551e-07,7.26455e-07,3.4252e-07,2.72023e-07
0.16,7.79741e-07,8.08254e-07,4.79974e-07,8.26561e-07,6.9955e-07
0.17,9.01075e-07,5.95339e-07,7.48393e-07,6.29561e-07,6.41847e-07
0.18,1.08588e-06,8.92155e-07,8.96756e-07,8.32583e-07,9.17816e-07
0.19,1.08328e-06,7.47549e-07,8.36644e-07,6.64497e-07,9.85822e-07
0.2,1.47287e-06,1.49506e-06,1.73675e-06,1.59633e-06,1.27164e-06
0.21,1.44859e-06,1.2617e-06,1.67146e-06,1.23015e-06,1.36317e-06
0.22,1.15734e-06,6.56039e-07,1.86367e-06,1.08868e-06,1.10484e-06
0.23,1.25562e-06,2.0604e-06,3.15469e-06,1.51674e-06,1.06414e-06
0.24,1.39424e-06,2.72267e-06,3.63054e-06,1.42298e-06,8.74034e-07
0.25,1.20481e-06,2.52373e-06,3.30996e-06,2.16245e-06,9.36433e-07
0.26,1.51652e-06,2.85405e-06,3.30458e-06,2.39469e-06,8.64577e-07
0.27,1.80991e-06,3.35897e-06,3.32845e-06,3.01244e-06,1.20992e-06
0.28,2.09986e-06,4.54949e-06,4.18175e-06,4.30998e-06,2.16184e-06
0.29,2.29083e-06,4.84492e-06,5.36506e-06,5.04908e-06,2.94472e-06
0.3,3.17538e-06,5.62467e-06,6.39652e-06,6.42982e-06,3.56467e-06
0.31,3.74034e-06,5.49097e-06,6.21035e-06,5.62464e-06,2.83637e-06
0.32,6.79452e-06,1.07143e-05,1.22191e-05,1.24684e-05,6.96069e-06
0.33,6.30371e-06,1.0192e-05,1.01507e-05,1.11117e-05,6.29984e-06
0.34,8.00641e-06,1.34054e-05,1.39348e-05,1.47052e-05,9.09169e-06
0.35,7.06584e-06,1.29182e-05,1.20634e-05,1.23984e-05,7.35682e-06
0.36,9.04527e-06,1.5254e-05,1.5293e-05,1.62417e-05,1.06314e-05
0.37,1.21163e-05,1.77656e-05,1.93747e-05,2.06469e-05,1.27568e-05
0.38,1.18883e-05,1.99046e-05,2.30013e-05,2.26984e-05,1.27712e-05
0.39,1.3502e-05,2.33195e-05,2.61378e-05,2.60901e-05,1.65503e-05
0.4,1.55309e-05,2.6619e-05,3.35515e-05,3.15385e-05,1.94528e-05
0.41,1.53857e-05,2.68707e-05,2.88827e-05,2.72741e-05,1.95472e-05
0.42,1.79702e-05,3.02128e-05,3.25331e-05,3.02283e-05,1.99566e-05
0.43,2.00184e-05,3.44299e-05,3.90054e-05,4.0215e-05,2.78493e-05
0.44,2.20282e-05,4.01551e-05,4.45239e-05,4.38511e-05,2.897e-05
0.45,2.58804e-05,4.44901e-05,5.06696e-05,4.6627e-05,3.07441e-05
