Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0;-1.65059e-08;-2.23675e-08;-7.13467e-08;-3.73264e-07;1.37128e-07
0.02;-2.20446e-06;1.85064e-06;4.70294e-06;2.08232e-06;-1.39072e-06
0.04;8.50548e-07;5.01494e-06;6.55561e-06;6.17079e-06;2.10188e-06
0.06;2.35861e-06;4.42751e-06;3.7125e-06;3.01545e-06;1.26339e-06
0.08;5.32209e-07;2.02709e-06;2.46626e-06;2.43395e-06;2.75374e-07
0.1;6.37723e-07;1.64074e-06;9.29726e-07;1.69001e-06;-2.83286e-07
0.12;2.38096e-07;1.09245e-06;1.95355e-07;1.16623e-06;-1.13534e-07
0.14;2.55227e-07;7.35696e-07;-1.88146e-07;3.5093e-07;-2.78698e-07
0.16;4.06076e-07;6.25083e-07;-4.46749e-07;4.32655e-07;-4.02538e-07
0.18;4.87501e-07;3.02423e-07;-1.30142e-07;6.13844e-07;1.0208e-07
0.2;4.97565e-07;3.28694e-07;1.87635e-07;5.85776e-07;2.08993e-07
0.22;2.46726e-07;1.98737e-07;1.25437e-07;2.75783e-07;3.78021e-07
0.24;4.82661e-07;3.63972e-07;2.79434e-07;4.92685e-07;2.97482e-07
0.26;3.55149e-07;4.73723e-07;2.59792e-07;5.57844e-07;2.78776e-07
0.28;3.34766e-07;3.51819e-07;4.1604e-07;5.97766e-07;4.37826e-07
0.3;8.14328e-07;1.71395e-06;1.74203e-06;2.08289e-06;5.68531e-07
0.32;4.21931e-07;6.26822e-07;8.16425e-07;8.42938e-07;7.41582e-07
0.34;5.58674e-07;5.91327e-07;9.40635e-07;7.5903e-07;5.96523e-07
0.36;1.11621e-06;1.35301e-06;1.03545e-06;1.3415e-06;9.09057e-07
0.38;9.96235e-07;1.34391e-06;1.44314e-06;1.3804e-06;9.02231e-07
0.4;1.0638e-06;1.38326e-06;1.62532e-06;1.14833e-06;1.09263e-06
0.42;1.858e-06;-5.7023e-07;1.04615e-06;2.10309e-06;2.20435e-06
0.44;2.80312e-06;3.85437e-06;2.6204e-06;9.90258e-06;8.97496e-06
0.46;2.02464e-06;2.43221e-06;3.70929e-06;3.55614e-06;1.17202e-06
0.48;4.51042e-06;5.13184e-06;5.70426e-06;5.00462e-06;3.46483e-06
0.5;4.15422e-06;6.06817e-06;7.83e-06;8.23274e-06;6.40824e-06
0.52;4.66425e-06;-2.54056e-06;5.42257e-06;6.70769e-06;6.45941e-06
0.54;7.92073e-06;1.06878e-05;7.82747e-06;9.63084e-06;9.04019e-06
0.56;8.71131e-06;8.60982e-06;8.75205e-06;8.89866e-06;4.24085e-05
0.58;0.000104468;6.96585e-06;1.10971e-05;7.82927e-06;0.000177954
0.6;0.000328498;1.26718e-05;1.24715e-05;1.53791e-05;0.000206549
0.62;0.00033423;3.54773e-05;3.6803e-05;2.06177e-05;0.000499922
0.64;0.000596695;0.000173879;0.000278608;8.90898e-05;0.000435742
0.66;0.000619477;0.000471445;0.000377809;0.000312282;0.000240899
0.68;0.00288022;0.00178681;0.00153295;0.00199257;0.00197083
0.7;0.00876088;0.00819156;0.0076496;0.00824316;0.00816535
0.72;0.0199044;0.0192872;0.0189641;0.0193798;0.0191094
0.74;0.0352333;0.0346836;0.0345728;0.0337255;0.0338422
0.76;0.0542212;0.0541698;0.0519599;0.051309;0.0525776
0.78;0.0760264;0.0743003;0.0717841;0.0714635;0.0746578
0.8;0.0983337;0.095724;0.0934556;0.093979;0.099338
0.82;0.127005;0.121894;0.118267;0.121339;0.12371
0.84;0.154036;0.148115;0.147238;0.148972;0.149662
0.86;0.176296;0.172657;0.171442;0.17562;0.176136
0.88;0.188251;0.18376;0.182786;0.187968;0.190869
0.9;0.179827;0.170007;0.165844;0.175136;0.180038
0.92;0.134983;0.120127;0.120319;0.127348;0.136623
0.94;0.0575882;0.0440766;0.0332934;0.0468478;0.0627933
0.96;-0.0537117;-0.0764851;-0.109664;-0.0863053;-0.0513701
0.98;-0.132551;-0.205202;-0.217801;-0.206377;-0.157483
1;-0.156059;-0.243151;-0.225501;-0.244271;-0.162383
1.02;-0.127089;-0.180267;-0.131449;-0.1572;-0.131183
1.04;-0.068662;-0.114754;-0.0510562;-0.0967282;-0.0823192
