Date [s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-1.65059e-08,-2.23675e-08,-7.13467e-08,-3.73264e-07,1.37128e-07
0.02,1.7805e-06,2.58733e-06,5.06864e-06,2.89554e-06,-1.99179e-06
0.04,7.7308e-08,4.79199e-06,7.08594e-06,5.11549e-06,1.66945e-06
0.06,1.19854e-06,3.39383e-06,4.74147e-06,3.57827e-06,1.23418e-06
0.08,3.1948e-07,1.49521e-06,2.95002e-06,2.21791e-06,6.53201e-07
0.1,4.34279e-07,1.49021e-06,7.35795e-07,9.92901e-07,1.00571e-07
0.12,4.50732e-07,1.33772e-06,9.36031e-07,2.97694e-07,1.95809e-08
0.14,2.02278e-07,6.42372e-07,-5.89401e-07,-4.46113e-07,-3.71485e-07
0.16,-1.16572e-08,-3.16701e-07,-7.5192e-07,-1.46769e-06,-3.65221e-07
0.18,1.59874e-07,-1.83039e-07,-1.07397e-06,-6.9392e-07,-5.04624e-07
0.2,2.40262e-08,1.7912e-07,-7.30528e-07,-5.92402e-08,-3.12411e-07
0.22,1.82871e-07,3.5919e-07,-3.03876e-07,1.07305e-07,-7.40632e-08
0.24,1.06256e-07,2.73119e-07,9.9025e-08,4.20441e-08,1.8823e-08
0.26,-7.26066e-08,9.54808e-08,9.21627e-08,2.27561e-07,6.16062e-09
0.28,-2.28651e-08,1.68333e-07,3.12974e-08,1.99656e-07,7.67954e-08
0.3,1.65615e-07,6.71821e-08,1.995e-08,3.43783e-07,1.5075e-07
0.32,3.62381e-07,1.66322e-07,-1.9992e-07,6.04e-07,2.70109e-07
0.34,3.04948e-07,1.57202e-07,3.6847e-08,9.27612e-08,-3.03844e-08
0.36,3.51161e-07,1.20985e-07,1.60653e-07,2.50517e-07,1.54398e-07
0.38,3.10466e-07,1.24712e-07,1.8568e-07,2.56588e-07,2.36089e-07
0.4,1.5103e-07,1.49218e-07,2.44559e-07,2.73093e-07,2.47275e-07
0.42,4.77642e-08,1.83607e-07,2.97682e-07,2.52605e-07,2.27268e-07
0.44,5.76226e-08,2.67493e-07,2.84687e-07,4.75166e-07,1.65194e-07
0.46,6.40771e-09,5.25322e-08,4.49583e-07,5.31892e-07,3.13089e-07
0.48,4.77636e-07,2.42685e-07,3.15915e-07,9.45624e-07,1.06798e-06
0.5,6.55341e-07,8.39655e-07,6.12875e-07,5.26888e-07,3.02173e-07
0.52,7.62498e-07,7.28598e-07,1.00622e-06,7.08828e-07,4.76533e-07
0.54,3.2644e-07,7.33808e-07,9.28241e-07,9.04586e-07,6.57483e-07
0.56,1.88306e-07,3.81903e-07,1.69452e-06,2.77972e-07,7.84208e-07
0.58,5.52103e-07,1.37961e-06,1.92233e-06,1.61416e-06,8.91541e-07
0.6,4.75037e-07,1.27901e-06,1.59918e-06,1.05415e-06,7.74226e-07
0.62,1.0382e-06,1.34458e-06,6.85821e-07,2.61245e-07,-6.03187e-08
0.64,1.12114e-06,1.1411e-06,1.46003e-06,1.6841e-06,1.2849e-06
0.66,1.88311e-06,3.01816e-06,9.21209e-07,8.2677e-07,1.04685e-06
0.68,1.55406e-06,2.13501e-06,1.75269e-06,2.13579e-06,1.24167e-06
0.7,8.05812e-07,4.89889e-06,3.51169e-06,2.2025e-06,1.68871e-06
0.72,2.56609e-06,2.94477e-06,2.32656e-06,2.83941e-06,2.46657e-06
0.74,1.05407e-06,2.90597e-06,3.4464e-06,3.51632e-06,2.96844e-06
0.76,2.68288e-06,4.50179e-06,4.34729e-06,4.39991e-06,3.13195e-06
0.78,3.46734e-06,-5.03077e-06,4.51972e-06,3.36675e-06,3.27144e-06
0.8,2.70446e-06,3.02008e-06,4.15993e-06,4.50416e-06,3.44298e-06
0.82,5.31742e-06,6.30638e-06,5.97353e-06,6.02409e-06,1.26952e-05
0.84,5.7665e-06,4.05418e-06,7.85926e-06,1.0905e-05,4.86872e-05
0.86,4.80166e-05,6.06337e-06,1.67742e-06,3.3562e-06,5.933e-05
0.88,0.000222423,7.36234e-06,5.08007e-06,4.08509e-06,9.18823e-05
0.9,0.000331561,1.11585e-05,9.52699e-06,9.85418e-06,0.000178319
0.92,0.00015725,9.43602e-06,1.35839e-05,8.65964e-06,0.000469822
0.94,0.000400101,6.62423e-05,9.62529e-05,2.96099e-05,0.00034189
0.96,0.000186343,0.000198424,0.000189879,8.23e-05,0.000174173
0.98,0.000290273,0.000263492,0.000196365,0.000176415,0.000256244
1,0.000965486,0.000313679,0.000346094,0.000364457,0.000445638
1.02,0.00261148,0.00156043,0.0014755,0.0017802,0.00206924
1.04,0.0064394,0.00579413,0.00523034,0.00581031,0.00585432
1.06,0.0126946,0.0127399,0.0124628,0.0128481,0.0129389
