date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,5.40873e-07,1.72674e-06,-2.19475e-06,1.07084e-06,7.75335e-07
0.05,-5.74323e-06,-2.25881e-06,8.20408e-07,2.6777e-06,2.26965e-07
0.1,4.69207e-07,-1.30131e-06,1.40226e-06,-3.71604e-08,7.94227e-07
0.15,-3.00642e-08,1.90367e-07,3.6439e-07,1.1151e-06,3.84231e-07
0.2,1.26013e-07,2.08322e-07,-2.29485e-08,-4.821e-07,-1.0175e-06
0.25,-1.97072e-07,1.69586e-07,1.38774e-07,-6.66128e-07,-6.68151e-07
0.3,1.75502e-06,1.00618e-06,1.25087e-06,-1.93264e-06,-2.47626e-06
0.35,1.59693e-06,1.98666e-06,5.97613e-07,-4.00529e-06,-1.55405e-06
0.4,-8.16971e-05,-0.000121546,-7.00175e-05,0.000117825,6.79506e-05
0.45,-0.000403432,-0.000715567,-0.000369364,0.000503216,0.000538831
0.5,0.00088309,-0.0024729,0.00107206,-0.000568895,-0.00135405
0.55,-0.00158303,-0.00200025,-0.00529777,0.00240477,0.00175232
0.6,-0.00889856,-0.0132376,-0.00502411,0.0099785,0.0112825
0.65,-0.0392536,-0.0323276,-0.00436278,0.0302304,0.0418652
0.7,-0.0592709,-0.0488323,-0.00197027,0.0420138,0.0644125
0.75,-0.0381094,-0.0426154,-0.00670081,0.0321358,0.0429355
0.8,-0.0254282,-0.0276965,-0.00425285,0.0122267,0.0336348
0.85,-0.020811,-0.0347441,-0.00774032,0.0114606,0.0301623
0.9,-0.0425276,-0.0627955,-0.0242138,0.0102082,0.0593224
0.95,-0.057033,-0.0654392,-0.0330868,0.0147235,0.0625095
1,-0.033115,-0.0716059,-0.0400988,0.0238386,0.0483342
1.05,0.00461736,-0.087047,-0.0482285,0.0212289,0.0348935
1.1,0.0278142,-0.123289,-0.0611788,0.00845138,0.0145853
1.15,0.0750706,-0.135998,-0.0827717,-0.0232331,-0.024996
1.2,0.0794851,-0.0481951,-0.0754264,-0.0705488,-0.068003
1.25,0.0561531,0.11115,-0.061503,-0.13792,-0.0780464
1.3,0.0579679,0.198972,-0.0484084,-0.169714,-0.0426628
1.35,0.0566374,0.222674,-0.0301698,-0.153455,-0.0316497
1.4,0.0473276,0.20751,0.00482101,-0.145788,-0.0240461
1.45,0.0666739,0.183897,0.0206684,-0.133523,-0.040075
1.5,0.0812319,0.189646,0.0295291,-0.0953018,-0.0324779
1.55,0.116051,0.258806,0.0472425,-0.0480132,-0.0524186
1.6,0.106154,0.349797,0.169552,-0.0261007,-0.0765831
1.65,0.0454258,0.289672,0.346739,-0.0597333,-0.0347304
1.7,0.0115118,0.283546,0.433136,0.0109262,-0.0222965
1.75,-0.00291038,0.274869,0.450582,0.115287,-0.0311187
