date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-1.52379e-06,-3.1879e-06,-3.59328e-07,-5.36906e-07,-1.52462e-07
0.05,-3.99587e-06,-6.90719e-06,-6.86901e-06,-6.88255e-06,-3.27529e-06
0.1,-1.1593e-06,1.04613e-06,3.93539e-07,-3.40321e-07,-1.0904e-06
0.15,4.30176e-07,2.48063e-06,2.36857e-06,3.53969e-06,1.32134e-06
0.2,1.77255e-06,4.74665e-06,6.36006e-06,5.48201e-06,1.70786e-06
0.25,1.23734e-05,1.63103e-05,1.78327e-05,1.62674e-05,1.15377e-05
0.3,3.16957e-05,5.87836e-05,5.6993e-05,5.90956e-05,3.87793e-05
0.35,5.80411e-05,8.34492e-05,7.37327e-05,8.10742e-05,5.38415e-05
0.4,0.00132166,0.00228622,0.00235624,0.00232382,0.00137608
0.45,0.0217924,0.0346263,0.032157,0.0315484,0.0200603
0.5,0.0498361,0.0730861,0.0727755,0.0660769,0.0543909
0.55,0.110342,0.138446,0.141366,0.138077,0.120681
0.6,0.199529,0.232954,0.23316,0.239155,0.206835
0.65,0.198119,0.236795,0.226729,0.224932,0.201322
0.7,-0.00302897,-0.0085598,-0.0112486,0.00459374,0.00327414
0.75,-0.104996,-0.0871382,-0.0967608,-0.075353,-0.101217
0.8,-0.0845011,-0.0241735,-0.0222341,-0.0116022,-0.0893957
0.85,-0.0539883,0.00789791,-0.00102939,0.0243648,-0.0643877
0.9,-0.108614,-0.131743,-0.162881,-0.104633,-0.147174
0.95,-0.234632,-0.24651,-0.248188,-0.173572,-0.275872
1,-0.341096,-0.244356,-0.276303,-0.164911,-0.360108
1.05,-0.397838,-0.196558,-0.256526,-0.112473,-0.417179
1.1,-0.381075,-0.0954008,-0.144022,0.0254935,-0.356348
1.15,-0.326258,-0.0264462,-0.0537794,0.142408,-0.272386
1.2,-0.234244,0.139409,0.118477,0.206041,-0.263626
1.25,-0.141432,0.2311,0.266223,0.190196,-0.219781
1.3,-0.0875642,0.187815,0.211051,0.122387,-0.122707
1.35,-0.144692,0.0710284,0.089409,-0.000300238,-0.147508
1.4,-0.256855,-0.0526255,-0.0112383,-0.110895,-0.23184
1.45,-0.362991,-0.132925,-0.0480779,-0.151473,-0.328484
1.5,-0.387498,-0.16807,-0.0305751,-0.13042,-0.385036
1.55,-0.29039,-0.089217,0.0500716,-0.0405076,-0.340782
1.6,-0.114259,0.0204751,0.233884,0.24511,-0.0873936
1.65,0.02985,0.113419,0.269588,0.204602,0.0538751
1.7,-0.0480951,-0.00555149,0.0632917,-0.0267481,-0.162997
1.75,-0.306421,-0.26428,-0.185002,-0.193958,-0.391273
1.8,-0.517259,-0.503576,-0.462765,-0.325821,-0.552173
1.85,-0.69129,-0.5275,-0.300473,-0.398135,-0.595795
1.9,-0.718521,-0.42451,-0.22695,-0.349981,-0.666689
1.95,-0.70906,-0.226161,-0.178673,-0.371561,-0.720809
2,-0.380856,-0.0268784,0.232719,-0.118644,-0.568011
2.05,0.00185482,0.490508,0.812533,0.570881,0.00173805
2.1,-0.00134483,0.190408,0.280866,0.227869,-0.062662
2.15,-0.270594,-0.14698,-0.0653992,-0.0820826,-0.357631
2.2,-0.493705,-0.31513,-0.205967,-0.290477,-0.615024
2.25,-0.680068,-0.350073,-0.200161,-0.37944,-0.679599
2.3,-0.198483,0.0471526,0.442216,0.183346,-0.191476
2.35,0.200909,0.388538,0.444107,0.402067,0.0304909
2.4,-0.229132,-0.0345142,-0.0285894,-0.0752314,-0.228448
2.45,-0.690744,-0.211158,-0.223452,-0.279218,-0.525944
2.5,-1.00172,-0.387483,-0.316367,-0.354439,-0.472195
2.55,-0.991599,-0.276613,0.186278,-0.151254,-0.138567
2.6,-0.583551,0.233893,0.482611,0.306212,-0.0502155
2.65,-0.319995,0.242737,0.336237,0.213395,-0.340005
2.7,-0.23341,0.27795,0.260267,0.234717,-0.48553
2.75,-0.333932,0.122527,0.236479,0.240663,-0.39667
2.8,-0.522491,0.0979085,0.250164,0.183211,-0.444008
2.85,-0.437371,0.178012,0.23206,0.120735,-0.687193
2.9,-0.367017,0.245229,0.284376,0.161174,-0.587737
2.95,-0.447423,0.0944056,0.207594,0.155985,-0.541658
3,-0.479633,0.0513434,0.084123,0.0397521,-0.571672
3.05,-0.240729,0.118006,0.122053,0.153323,-0.437712
3.1,-0.0102995,0.287162,0.26838,0.39429,-0.260235
3.15,-0.0281092,0.134041,0.0702586,0.143829,-0.318872
3.2,-0.234732,0.0156083,-0.0755783,0.00420932,-0.439628
3.25,-0.371129,-0.0155922,-0.0510684,-0.0565494,-0.398609
3.3,-0.379278,0.0624851,0.183017,0.0797174,-0.180175
3.35,-0.450606,-0.070168,0.237012,0.231498,-0.0199049
3.4,-0.515346,-0.310054,0.159913,0.105932,-0.199588
3.45,-0.447446,-0.176799,0.118408,0.0895252,-0.374107
3.5,-0.307692,0.137291,0.232722,0.173725,-0.312216
3.55,-0.600071,-0.0552304,0.00273664,0.0403038,-0.255589
3.6,-0.82445,-0.358622,0.0104763,0.0354509,-0.245172
3.65,-0.40422,0.0893943,0.242787,0.199047,-0.181788
3.7,-0.0104393,0.484124,0.353687,0.202248,-0.103585
3.75,-0.342926,-0.0607098,-0.101355,-0.0708758,-0.249362
3.8,-0.674932,-0.301656,-0.149246,-0.147059,-0.384437
3.85,-0.60347,-0.225412,0.127203,-0.126554,-0.419695
3.9,0.207727,0.842425,0.859298,0.367588,0.116816
3.95,0.0257838,0.213645,0.180521,0.172837,-0.00102489
