date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0,-6.9631e-08,-5.68665e-08,-2.09753e-08,1.74088e-07,5.57837e-08
0.01,-1.99189e-05,-5.35103e-05,3.7348e-05,9.24208e-05,1.70182e-05
0.02,-9.90828e-06,-8.57991e-06,-2.84668e-06,5.21014e-06,7.44158e-06
0.03,4.83484e-06,5.99709e-06,2.78377e-06,-2.72134e-06,-1.27349e-06
0.04,-3.81904e-06,-3.42461e-06,-2.67541e-07,1.85828e-06,1.10786e-06
0.05,1.02165e-06,1.08123e-06,-1.51485e-07,-2.09286e-06,-1.92917e-06
0.06,1.23776e-06,2.54358e-06,3.33018e-07,-1.7199e-06,-1.2373e-06
0.07,-2.22791e-07,-1.78544e-06,-1.01741e-06,1.34235e-06,1.57735e-07
0.08,7.30888e-07,4.7872e-07,-3.46855e-07,-2.0749e-06,-1.41325e-06
0.09,-9.42654e-07,-9.54258e-07,-1.87521e-07,1.33067e-06,9.59224e-07
0.1,7.66258e-07,5.81848e-07,2.71578e-07,-5.34749e-07,-8.40801e-07
0.11,-4.50875e-07,-4.66665e-07,6.39132e-08,7.97814e-07,7.4055e-07
0.12,6.75479e-08,2.82437e-07,1.17876e-07,-1.79192e-07,-1.79945e-07
0.13,-5.41399e-09,-3.52595e-08,1.41084e-07,1.27864e-07,-1.06332e-07
0.14,1.28655e-07,3.69607e-07,1.24224e-07,-1.85622e-07,-1.90322e-07
0.15,-1.11369e-07,-2.37445e-07,2.08552e-07,1.9964e-07,1.25942e-07
0.16,4.64685e-08,3.39299e-08,4.7693e-08,-9.22219e-08,-6.70981e-08
0.17,9.1331e-08,2.56593e-07,1.73583e-08,-1.70232e-07,-7.16756e-08
0.18,7.26792e-08,3.80435e-07,4.00377e-08,-3.09318e-07,-1.13714e-07
0.19,7.21346e-08,4.98051e-07,-2.88668e-08,-1.80006e-07,-5.22321e-08
0.2,9.23156e-08,4.18126e-07,-1.27606e-08,-2.89349e-07,-2.23633e-08
0.21,1.6696e-07,4.42395e-07,-1.51804e-07,-1.48463e-07,-8.05213e-08
0.22,1.60531e-07,1.68238e-07,-1.87101e-07,4.52395e-08,-6.36753e-08
0.23,2.54968e-07,4.184e-07,7.97907e-08,-2.6766e-07,-2.15694e-07
0.24,5.60638e-07,1.13676e-06,1.89207e-07,-2.617e-07,-2.08538e-07
0.25,5.05657e-07,1.61468e-06,1.26304e-07,-7.18293e-07,-6.57745e-07
0.26,-3.83886e-07,1.92645e-06,3.28308e-07,-7.59066e-07,-4.27366e-07
0.27,6.26348e-07,2.24746e-06,7.25773e-07,-7.7731e-07,-6.21824e-07
0.28,1.02055e-06,2.51718e-06,1.06167e-06,-7.13501e-07,-8.1657e-07
0.29,6.24784e-07,3.06591e-06,1.36378e-06,-6.84728e-07,-7.07435e-07
0.3,5.68372e-07,2.98128e-06,1.37429e-06,-7.83662e-07,-1.16279e-06
0.31,8.10872e-07,2.79516e-06,1.13408e-06,-1.2894e-06,-1.25521e-06
0.32,1.5255e-06,3.00329e-06,6.3587e-07,-2.1533e-06,-1.71338e-06
0.33,1.71242e-06,3.61127e-06,9.15214e-07,-2.23669e-06,-1.56352e-06
0.34,2.63383e-06,4.58928e-06,1.89216e-06,-3.02329e-06,-1.79902e-06
0.35,3.00176e-06,4.93358e-06,1.60708e-06,-4.01085e-06,-1.85464e-06
0.36,4.74727e-06,8.07996e-06,4.00278e-06,-5.25414e-06,-3.7613e-06
0.37,7.08568e-06,9.83036e-06,4.51245e-06,-4.62628e-06,-2.4447e-06
0.38,9.43883e-06,1.44103e-05,3.49227e-06,-4.04593e-06,-1.45285e-06
0.39,1.67091e-05,1.84822e-05,5.35222e-06,-8.36278e-07,-6.02814e-06
0.4,2.22535e-05,3.2103e-05,1.89981e-05,2.70981e-05,-1.17196e-05
0.41,2.19105e-05,3.81755e-05,6.92247e-06,5.59689e-05,-2.59729e-05
0.42,5.23082e-05,0.000107519,2.12337e-05,2.73959e-05,-3.20538e-06
0.43,-1.16101e-05,6.61597e-05,8.78845e-05,0.00011754,-2.35057e-05
0.44,-2.49562e-05,0.000188771,0.000151776,3.42945e-05,-5.22162e-05
0.45,0.000137559,0.000322842,0.000180132,0.000115524,-0.000274772
0.46,0.00065614,0.000532519,0.000259276,4.01374e-05,-0.000468966
0.47,0.000904111,0.00084629,0.000456496,-0.000533957,-0.000915945
0.48,0.000564073,0.00139546,0.000190096,-0.000731661,-0.000895219
0.49,0.00100162,0.00161149,0.000157119,-0.000489084,-0.00121941
0.5,0.00120386,0.00165916,0.000418214,0.000457747,-0.000570108
0.51,0.00151239,0.00224615,0.00180457,0.000179746,-0.000747188
0.52,0.00292211,0.00275357,0.000349697,0.000370568,-0.000590221
0.53,0.00301557,0.00324892,0.00115469,0.000825869,-0.00206242
0.54,0.00211818,0.00306996,0.000855749,0.000974229,-0.00319476
0.55,0.00187155,0.00389499,0.0034818,0.00130422,-0.00229573
0.56,0.00294283,0.00451172,0.00357863,0.00169042,-0.00148316
0.57,0.00384697,0.0036305,0.00406493,0.00218348,-0.00156473
0.58,0.00416482,0.00204197,0.00507315,0.00267578,-0.00104232
0.59,0.00360546,0.00223325,0.00378987,0.00212277,0.000150978
0.6,0.00233472,0.000667586,0.00314857,0.00320814,0.0010519
0.61,0.000377339,-0.000131734,0.00186817,0.00383204,0.00214813
