Date [s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
0;4.21026e-07;6.87111e-08;2.73845e-07;2.20305e-07;-2.32461e-07
0.02;7.84844e-07;-7.41923e-08;-5.84889e-07;1.55042e-07;8.76272e-07
0.04;1.47879e-06;4.23193e-06;8.4065e-07;-1.96741e-06;-5.42303e-07
0.06;8.63983e-07;8.64133e-07;1.31866e-06;-2.36368e-07;-1.42291e-06
0.08;7.0018e-09;5.66798e-07;2.21263e-07;2.55345e-07;-1.63373e-07
0.1;1.89148e-07;-1.83529e-07;-2.07797e-07;-7.44656e-07;-1.0513e-06
0.12;-1.86666e-07;-7.61572e-07;2.35276e-07;3.18485e-07;-1.69068e-07
0.14;-1.12592e-07;-3.38626e-07;1.94525e-07;-8.35668e-08;-4.69991e-07
0.16;-8.51959e-08;-1.83713e-07;3.28627e-07;3.48455e-07;-9.06653e-08
0.18;-4.33199e-09;-3.19644e-07;-2.71244e-09;3.03068e-07;-3.19167e-07
0.2;2.35894e-08;-3.03975e-07;1.25503e-07;2.81627e-07;-2.90213e-09
0.22;-4.93376e-08;-2.64637e-07;4.06354e-08;8.08103e-08;-7.1726e-08
0.24;-9.32048e-08;-3.4248e-07;7.8782e-08;5.89669e-08;-2.0956e-07
0.26;7.81758e-08;-3.44414e-07;-5.239e-07;1.30089e-07;-2.75299e-07
0.28;-1.88243e-09;-5.35482e-08;-3.02742e-08;8.5499e-08;-4.384e-08
0.3;1.45997e-07;-2.25549e-07;1.20962e-07;3.39168e-07;-3.04362e-07
0.32;2.90531e-07;-9.25816e-07;3.15096e-07;1.92003e-07;-6.58343e-08
0.34;-4.84044e-07;-3.0487e-07;-1.78136e-07;1.96576e-07;3.04543e-07
0.36;1.23108e-06;-8.5793e-07;-2.66832e-08;2.39494e-07;1.20884e-07
0.38;7.19454e-08;3.11715e-07;2.66321e-07;-5.04908e-07;-5.74831e-07
0.4;-1.89625e-06;9.86219e-07;5.36192e-07;-2.87687e-07;4.49479e-07
0.42;-5.47732e-06;5.37563e-07;6.51953e-07;1.28665e-06;1.43669e-05
0.44;-3.18236e-05;7.15025e-07;1.92126e-07;2.86957e-06;6.31612e-05
0.46;7.96732e-05;-2.11258e-05;-1.15211e-06;2.70808e-05;2.84868e-05
0.48;-5.963e-06;-2.33908e-05;-2.53437e-05;4.6234e-05;0.000153111
0.5;-0.000246035;-9.27378e-05;-3.21664e-05;0.000181104;0.000155166
0.52;-0.000800626;-0.0009111;0.000235998;0.0013026;0.000770618
0.54;-0.00153058;-0.00227182;0.000336902;0.00245659;0.00142358
0.56;-0.00221715;-0.00472357;0.000537675;0.00322071;0.00118283
0.58;-0.00250243;-0.00568694;-0.000189362;0.00430679;0.00189776
0.6;-0.00381393;-0.0060271;-0.000281434;0.00596841;0.00307423
0.62;-0.00302377;-0.00814444;-0.000193939;0.00816895;0.00267882
0.64;-0.00484722;-0.0103618;-0.000284791;0.00809839;0.00341032
0.66;-0.00555269;-0.0130269;-0.00165903;0.0119255;0.00501861
0.68;-0.00954416;-0.0187295;-0.0024404;0.0165066;0.00947807
0.7;-0.0147699;-0.0249907;-0.00456107;0.0220082;0.0122794
0.72;-0.0218942;-0.0298059;-0.00727708;0.0271593;0.0175025
0.74;-0.0288939;-0.0360235;-0.0089209;0.0321282;0.0247574
0.76;-0.0362149;-0.0393513;-0.0110958;0.0354525;0.0313805
0.78;-0.0393031;-0.0394546;-0.0134477;0.0372091;0.0359521
0.8;-0.042481;-0.0398964;-0.0142493;0.0374865;0.0362161
0.82;-0.0339475;-0.0312549;-0.00941634;0.0290276;0.0266058
0.84;-0.0239577;-0.0164809;-0.00835936;0.0248224;0.0189629
0.86;-0.0120849;-0.0204515;-0.00729953;0.0223115;0.0177015
0.88;-0.00796831;-0.0199508;0.000816996;0.0156303;0.0103922
0.9;-0.00232681;-0.0214048;0.00158144;0.00880756;0.00997902
0.92;-0.00973417;-0.0230671;-0.0060328;0.0174868;0.00319105
0.94;0.000467215;-0.032421;-0.00450055;0.0214195;0.0047671
0.96;-0.0046473;-0.0475291;-0.00993515;0.0446586;0.00300833
0.98;-0.0104101;-0.0668171;-0.00534847;0.0557205;0.00814681
1;-0.0192682;-0.0830801;-0.00207979;0.0688772;0.0177525
1.02;-0.0258997;-0.0774769;-0.00160344;0.0699302;0.0237905
1.04;-0.0244476;-0.0731511;-0.0015728;0.0666836;0.0236469
1.06;-0.0160414;-0.0719364;-0.000614637;0.0560458;0.0154665
1.08;0.00296891;-0.0546759;-0.0100101;0.0408638;-0.000264893
1.1;0.0304804;-0.0265595;-0.0112998;0.0152842;-0.0196232
1.12;0.0525419;0.0334608;-0.0292066;-0.0219631;-0.061908
1.14;0.0529282;0.0549881;-0.0321097;-0.0161708;-0.0650014
1.16;0.0726258;0.111318;-0.0129977;-0.0952992;-0.0855959
1.18;0.105221;0.165459;0.011565;-0.150627;-0.116004
1.2;0.134499;0.243205;0.0296667;-0.242636;-0.143776
1.22;0.182783;0.362887;0.187812;-0.354673;-0.189045
1.24;0.198976;0.34538;0.113772;-0.359508;-0.211352
1.26;0.191137;0.302772;0.0918334;-0.302396;-0.203338
1.28;0.152092;0.313586;0.0642883;-0.286816;-0.171296
1.3;0.128244;0.316548;0.0365445;-0.281553;-0.13317
1.32;0.10048;0.300122;0.0723006;-0.263252;-0.0987024
1.34;0.0763464;0.259996;0.0808666;-0.19802;-0.0605923
1.36;0.0494662;0.20862;0.110831;-0.164028;-0.0357917
1.38;0.0367592;0.214108;0.125669;-0.168754;-0.0346344
1.4;0.0370284;0.205968;0.140553;-0.173007;-0.0396567
1.42;0.0361634;0.206442;0.135061;-0.170491;-0.0439033
1.44;0.0370007;0.209934;0.124068;-0.182535;-0.046129
1.46;0.033193;0.200589;0.118321;-0.192146;-0.0464514
1.48;0.0303554;0.201861;0.0964002;-0.180102;-0.0449244
1.5;0.0204887;0.191479;0.0749702;-0.1838;-0.0461404
1.52;0.0137389;0.172397;0.0470261;-0.167375;-0.0472705
1.54;0.0212079;0.152302;0.0762023;-0.14499;-0.064159
1.56;0.0850448;0.127451;0.0469524;-0.119455;-0.111785
1.58;0.13727;0.114111;-0.0279252;-0.110494;-0.135964
1.6;0.147771;0.153351;-0.0540718;-0.0714572;-0.150939
1.62;0.117692;0.062554;-0.169619;0.0229398;-0.140158
1.64;0.100242;0.0772204;-0.316885;0.0132794;-0.0957065
1.66;0.163546;0.227589;-0.12724;-0.154721;-0.121138
1.68;0.225759;0.399674;0.197061;-0.357064;-0.188965
1.7;0.229277;0.47702;0.350175;-0.452557;-0.199705
1.72;0.211472;0.492003;0.322129;-0.42253;-0.155356
1.74;0.219339;0.441079;0.328441;-0.368002;-0.114135
1.76;0.23984;0.407508;0.327856;-0.357017;-0.0880632
1.78;0.238517;0.367728;0.304133;-0.251351;-0.0710987
1.8;0.252924;0.288203;0.302682;-0.096132;-0.0847549
1.82;0.216073;0.292085;0.629574;-0.0154075;-0.130125
1.84;0.156927;0.36399;0.51635;-0.100205;-0.164584
1.86;0.133215;0.33524;0.0868064;-0.287717;-0.143079
1.88;0.167866;0.408365;-0.243527;-0.4265;-0.130652
1.9;0.200978;0.418833;-0.395777;-0.433435;-0.12659
1.92;0.22336;0.171737;-0.45366;-0.436563;-0.126159
1.94;0.207832;0.0323578;-0.495148;-0.421311;-0.115997
1.96;0.172413;0.0194252;-0.538743;-0.431643;-0.107024
1.98;0.129392;0.0652865;-0.600117;-0.403184;-0.0989698
2;0.109038;0.0600295;-0.400867;-0.382934;-0.0989212
2.02;0.0759605;0.0446745;-0.14156;-0.364995;-0.108975
2.04;0.0885851;0.0814835;0.265097;-0.332814;-0.122956
2.06;0.0810686;0.194731;0.68285;0.146483;-0.104417
2.08;0.0479273;0.234974;0.771096;0.444073;0.0457259
2.1;0.134169;0.290433;0.147162;0.140647;0.0538288
2.12;0.143087;0.334194;-0.378193;-0.226358;-0.0892536
2.14;0.157317;-0.169908;-0.626057;-0.411914;-0.153714
2.16;0.141679;-0.225147;-0.771289;-0.473512;-0.142956
2.18;0.107393;-0.183104;-0.763187;-0.443768;-0.133834
2.2;0.0896917;-0.151761;-0.665609;-0.433648;-0.127406
2.22;0.13486;-0.0677189;-0.631543;-0.435979;-0.126104
2.24;0.160105;0.132448;-0.59752;-0.432457;-0.119847
2.26;0.174393;0.324896;0.693313;-0.467388;-0.130118
2.28;0.166953;0.430439;0.967165;0.713038;-0.0621997
2.3;0.209;0.433195;0.695657;0.166337;0.00697387
2.32;0.212118;0.441993;0.909742;0.316672;0.00847903
2.34;0.200222;0.522134;0.94686;0.205128;-0.0304916
2.36;0.192874;0.522791;0.969424;0.0426108;-0.0913294
2.38;0.212313;0.534953;0.964812;-0.149578;-0.141215
2.4;0.266394;0.492406;-0.204472;-0.498575;-0.205481
2.42;0.332808;0.404148;-0.43554;-0.681469;-0.229328
2.44;0.347967;0.476448;-0.033067;-0.62186;-0.206345
2.46;0.260363;0.370217;0.186011;-0.3537;-0.17428
2.48;0.194197;0.457474;0.314674;-0.284049;-0.152235
2.5;0.205813;0.500714;0.334535;-0.246335;-0.152552
2.52;0.224257;0.500974;0.258431;-0.310184;-0.193313
2.54;0.227645;0.447821;0.0233821;-0.395635;-0.251242
2.56;0.186551;0.405829;-0.0886677;-0.455175;-0.306827
2.58;0.102918;0.35749;-0.215233;-0.437048;-0.291261
2.6;0.0356491;0.26829;-0.212163;-0.310992;-0.236313
2.62;0.0370955;0.231059;-0.170841;-0.187696;-0.218627
2.64;0.0299238;0.199644;-0.103124;-0.158136;-0.257089
2.66;0.0525406;-0.189687;-0.331206;-0.256694;-0.229803
2.68;-0.135419;-0.316823;-0.435372;-0.126947;-0.113413
2.7;0.109459;-0.54006;-0.473339;-0.0576002;0.0799964
2.72;0.0675956;-0.673793;-0.624603;-0.149327;0.108127
2.74;-0.15264;-0.846737;-0.630234;-0.280093;-0.0336684
2.76;-0.211408;-0.893309;-0.60377;-0.283774;-0.0936957
2.78;-0.246392;-0.813382;-0.571583;-0.283397;-0.0809021
