Date [s],Average:Temperature (Study 01 - Particles) [K],Max:Temperature (Study 01 - Particles) [K],Min:Temperature (Study 01 - Particles) [K]
0,323.15,323.15,323.15
0.02,323.135,323.157,323.128
0.04,323.136,323.165,323.118
0.06,323.142,323.173,323.105
0.08,323.148,323.18,323.098
0.1,323.155,323.188,323.092
0.12,323.161,323.195,323.087
0.14,323.168,323.203,323.086
0.16,323.174,323.21,323.087
0.18,323.18,323.218,323.078
0.2,323.186,323.225,323.065
0.22,323.192,323.233,323.05
0.24,323.198,323.24,323.033
0.26,323.203,323.248,323.015
0.28,323.209,323.255,322.996
0.3,323.214,323.263,322.973
0.32,323.219,323.27,322.947
0.34,323.224,323.278,322.921
0.36,323.229,323.285,322.892
0.38,323.233,323.293,322.862
0.4,323.238,323.3,322.831
0.42,323.242,323.308,322.798
0.44,323.246,323.315,322.764
0.46,323.25,323.323,322.728
0.48,323.254,323.33,322.691
0.5,323.257,323.338,322.653
0.52,323.261,323.345,322.613
0.54,323.264,323.353,322.573
0.56,323.268,323.36,322.531
0.58,323.271,323.368,322.487
0.6,323.273,323.375,322.443
0.62,323.276,323.383,322.397
0.64,323.279,323.39,322.35
0.66,323.281,323.398,322.302
0.68,323.283,323.405,322.253
0.7,323.286,323.413,322.203
0.72,323.288,323.42,322.152
0.74,323.289,323.428,322.1
0.76,323.291,323.435,322.047
0.78,323.292,323.443,321.992
0.8,323.294,323.45,321.937
0.82,323.295,323.458,321.881
0.84,323.296,323.466,321.823
0.86,323.297,323.473,321.765
0.88,323.297,323.481,321.706
0.9,323.298,323.488,321.646
0.92,323.298,323.496,321.585
0.94,323.299,323.503,321.523
0.96,323.299,323.511,321.46
0.98,323.299,323.518,321.397
1,323.298,323.526,321.333
1.02,323.298,323.532,321.267
1.04,323.297,323.535,321.201
1.06,323.297,323.537,321.134
1.08,323.296,323.54,321.066
1.1,323.295,323.546,320.997
1.12,323.294,323.553,320.927
1.14,323.293,323.561,320.854
1.16,323.292,323.568,320.78
1.18,323.29,323.575,320.702
1.2,323.289,323.583,320.623
1.22,323.286,323.59,320.543
1.24,323.283,323.598,320.464
1.26,323.281,323.605,320.385
1.28,323.278,323.613,320.307
1.3,323.275,323.62,320.228
1.32,323.272,323.627,320.149
1.34,323.269,323.635,320.07
1.36,323.266,323.642,319.991
1.38,323.263,323.65,319.911
1.4,323.26,323.657,319.829
1.42,323.257,323.665,319.745
1.44,323.253,323.672,319.658
1.46,323.249,323.68,319.571
1.48,323.244,323.687,319.483
1.5,323.239,323.694,319.393
1.52,323.234,323.702,319.304
1.54,323.229,323.709,319.216
1.56,323.224,323.717,319.131
1.58,323.219,323.724,319.047
1.6,323.214,323.732,318.964
1.62,323.21,323.739,318.881
1.64,323.205,323.746,318.797
1.66,323.2,323.754,318.713
1.68,323.195,323.761,318.627
1.7,323.189,323.768,318.539
1.72,323.183,323.776,318.447
1.74,323.176,323.783,318.353
1.76,323.169,323.79,318.265
1.78,323.162,323.798,318.181
1.8,323.155,323.805,318.1
1.82,323.147,323.813,318.021
1.84,323.14,323.82,317.943
1.86,323.133,323.827,317.867
1.88,323.126,323.835,317.794
1.9,323.12,323.842,317.726
1.92,323.114,323.849,317.657
1.94,323.108,323.856,317.587
1.96,323.101,323.862,317.515
1.98,323.095,323.869,317.44
2,323.087,323.877,317.356
2.02,323.08,323.884,317.268
2.04,323.071,323.891,317.177
2.06,323.063,323.898,317.086
2.08,323.053,323.905,317.002
2.1,323.044,323.912,316.938
2.12,323.036,323.919,316.889
2.14,323.027,323.926,316.845
2.16,323.019,323.934,316.8
2.18,323.012,323.941,316.758
2.2,323.004,323.948,316.72
2.22,322.996,323.956,316.683
2.24,322.988,323.963,316.652
2.26,322.978,323.969,316.606
2.28,322.969,323.974,316.523
2.3,322.961,323.979,316.443
2.32,322.953,323.981,316.367
2.34,322.947,323.986,316.294
2.36,322.94,323.986,316.219
2.38,322.934,323.99,316.138
2.4,322.928,323.993,316.054
2.42,322.921,323.997,315.965
2.44,322.913,324.001,315.879
2.46,322.905,324.006,315.798
2.48,322.895,324.01,315.719
2.5,322.886,324.013,315.645
2.52,322.875,324.019,315.577
2.54,322.865,324.025,315.512
2.56,322.855,324.029,315.451
2.58,322.847,324.029,315.397
2.6,322.839,324.027,315.342
2.62,322.833,324.025,315.291
2.64,322.827,324.032,315.251
2.66,322.822,324.039,315.24
2.68,322.816,324.045,315.221
2.7,322.809,324.052,315.147
2.72,322.802,324.058,315.068
2.74,322.794,324.064,314.991
2.76,322.786,324.07,314.915
2.78,322.777,324.077,314.855
2.8,322.767,324.084,314.814
2.82,322.757,324.091,314.755
2.84,322.748,324.097,314.686
2.86,322.739,324.101,314.621
2.88,322.73,324.103,314.552
2.9,322.722,324.103,314.479
2.92,322.715,324.099,314.404
2.94,322.708,324.099,314.329
2.96,322.701,324.105,314.255
2.98,322.694,324.111,314.183
3,322.687,324.114,314.142
3.02,322.68,324.117,314.077
3.04,322.672,324.121,314.013
3.06,322.663,324.126,313.95
3.08,322.654,324.131,313.892
3.1,322.644,324.134,313.835
3.12,322.635,324.135,313.792
3.14,322.626,324.139,313.748
3.16,322.618,324.143,313.704
3.18,322.611,324.145,313.654
3.2,322.604,324.147,313.596
3.22,322.598,324.148,313.526
3.24,322.591,324.15,313.495
3.26,322.584,324.153,313.474
3.28,322.576,324.155,313.455
3.3,322.568,324.159,313.398
3.32,322.559,324.163,313.339
3.34,322.55,324.166,313.281
3.36,322.541,324.167,313.226
3.38,322.531,324.166,313.171
3.4,322.523,324.163,313.117
3.42,322.515,324.163,313.063
3.44,322.508,324.16,313.006
3.46,322.5,324.165,312.943
3.48,322.493,324.168,312.88
3.5,322.486,324.172,312.82
3.52,322.479,324.175,312.761
3.54,322.472,324.174,312.701
3.56,322.464,324.169,312.643
3.58,322.457,324.171,312.585
3.6,322.449,324.175,312.527
3.62,322.44,324.179,312.471
3.64,322.431,324.182,312.412
3.66,322.422,324.186,312.357
3.68,322.413,324.189,312.304
3.7,322.404,324.191,312.251
3.72,322.395,324.194,312.195
3.74,322.388,324.195,312.134
3.76,322.381,324.197,312.072
3.78,322.374,324.199,312.009
3.8,322.366,324.2,311.948
3.82,322.359,324.202,311.895
3.84,322.351,324.204,311.841
3.86,322.343,324.208,311.784
3.88,322.335,324.212,311.728
3.9,322.327,324.217,311.671
3.92,322.319,324.222,311.615
3.94,322.31,324.227,311.559
3.96,322.302,324.231,311.501
3.98,322.294,324.235,311.445
4,322.286,324.239,311.402
4.02,322.279,324.242,311.365
4.04,322.272,324.244,311.334
4.06,322.265,324.247,311.313
4.08,322.258,324.249,311.309
4.1,322.25,324.251,311.305
4.12,322.242,324.251,311.301
4.14,322.234,324.247,311.312
4.16,322.226,324.244,311.279
4.18,322.217,324.241,311.225
4.2,322.208,324.239,311.175
4.22,322.2,324.236,311.126
4.24,322.191,324.236,311.074
4.26,322.184,324.238,311.019
4.28,322.176,324.241,310.962
4.3,322.169,324.243,310.905
4.32,322.162,324.245,310.851
4.34,322.154,324.246,310.8
4.36,322.147,324.246,310.75
4.38,322.139,324.245,310.697
4.4,322.131,324.244,310.642
4.42,322.123,324.246,310.584
4.44,322.115,324.248,310.525
4.46,322.108,324.252,310.467
4.48,322.099,324.257,310.415
4.5,322.091,324.262,310.382
4.52,322.083,324.266,310.346
4.54,322.075,324.268,310.315
4.56,322.067,324.271,310.312
4.58,322.06,324.273,310.32
4.6,322.053,324.277,310.333
4.62,322.046,324.28,310.353
4.64,322.039,324.282,310.369
4.66,322.031,324.284,310.382
4.68,322.024,324.285,310.403
4.7,322.016,324.287,310.426
4.72,322.007,324.287,310.451
4.74,321.999,324.287,310.477
4.76,321.991,324.288,310.505
4.78,321.982,324.291,310.531
4.8,321.974,324.293,310.553
4.82,321.966,324.294,310.567
4.84,321.959,324.294,310.571
4.86,321.951,324.294,310.573
4.88,321.943,324.294,310.573
4.9,321.936,324.295,310.576
4.92,321.929,324.293,310.589
4.94,321.921,324.289,310.613
4.96,321.915,324.287,310.646
4.98,321.908,324.291,310.68
5,321.902,324.295,310.713
5.02,321.895,324.296,310.743
5.04,321.888,324.297,310.77
5.06,321.881,324.298,310.77
5.08,321.873,324.3,310.742
5.1,321.865,324.302,310.711
5.12,321.856,324.304,310.677
5.14,321.847,324.308,310.64
5.16,321.838,324.311,310.602
5.18,321.831,324.314,310.561
5.2,321.823,324.317,310.519
5.22,321.816,324.32,310.472
5.24,321.809,324.322,310.428
5.26,321.802,324.324,310.389
5.28,321.794,324.326,310.353
5.3,321.786,324.328,310.323
5.32,321.779,324.328,310.322
5.34,321.771,324.327,310.322
5.36,321.764,324.326,310.32
5.38,321.757,324.324,310.33
5.4,321.749,324.32,310.338
5.42,321.742,324.313,310.352
5.44,321.734,324.305,310.365
5.46,321.726,324.296,310.378
5.48,321.718,324.294,310.388
5.5,321.71,324.292,310.405
5.52,321.701,324.288,310.424
5.54,321.693,324.283,310.441
5.56,321.684,324.281,310.456
5.58,321.677,324.282,310.462
5.6,321.67,324.283,310.456
5.62,321.663,324.284,310.442
5.64,321.655,324.284,310.425
5.66,321.648,324.283,310.418
5.68,321.64,324.28,310.432
5.7,321.632,324.272,310.456
5.72,321.624,324.263,310.483
5.74,321.617,324.253,310.512
5.76,321.61,324.255,310.545
5.78,321.602,324.255,310.575
5.8,321.594,324.255,310.603
5.82,321.585,324.252,310.63
5.84,321.577,324.252,310.617
5.86,321.568,324.25,310.594
