Date [s],Average:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.134
0.04,323.136
0.06,323.141
0.08,323.148
0.1,323.155
0.12,323.161
0.14,323.168
0.16,323.174
0.18,323.18
0.2,323.186
0.22,323.192
0.24,323.197
0.26,323.203
0.28,323.208
0.3,323.213
0.32,323.218
0.34,323.223
0.36,323.228
0.38,323.232
0.4,323.237
0.42,323.241
0.44,323.245
0.46,323.249
0.48,323.253
0.5,323.256
0.52,323.26
0.54,323.263
0.56,323.266
0.58,323.269
0.6,323.272
0.62,323.274
0.64,323.277
0.66,323.279
0.68,323.281
0.7,323.283
0.72,323.285
0.74,323.287
0.76,323.288
0.78,323.29
0.8,323.291
0.82,323.292
0.84,323.293
0.86,323.294
0.88,323.294
0.9,323.294
0.92,323.295
0.94,323.295
0.96,323.295
0.98,323.294
1,323.294
1.02,323.293
1.04,323.293
1.06,323.292
1.1,323.29
1.08,323.291
1.12,323.289
1.14,323.288
1.16,323.286
1.18,323.285
1.2,323.283
1.22,323.28
1.24,323.277
1.26,323.274
1.28,323.271
1.3,323.268
1.32,323.265
1.34,323.262
1.36,323.259
1.38,323.256
1.4,323.253
1.42,323.249
1.44,323.245
1.46,323.241
1.48,323.236
1.5,323.231
1.52,323.226
1.54,323.22
1.56,323.215
1.58,323.21
1.6,323.206
1.62,323.201
1.64,323.196
1.66,323.191
1.68,323.186
1.7,323.18
1.72,323.173
1.74,323.166
1.76,323.158
1.78,323.151
1.8,323.143
1.82,323.136
1.84,323.129
1.86,323.121
1.88,323.114
1.9,323.108
1.92,323.102
1.94,323.096
1.96,323.089
1.98,323.082
2,323.075
2.02,323.067
2.04,323.058
2.06,323.048
2.08,323.039
2.1,323.029
2.12,323.021
2.14,323.012
2.16,323.004
2.18,322.997
2.2,322.989
2.22,322.98
2.24,322.971
2.26,322.961
2.28,322.952
2.3,322.944
2.32,322.936
2.34,322.929
2.36,322.922
2.38,322.916
2.4,322.909
2.42,322.901
2.44,322.893
2.46,322.883
2.48,322.873
2.5,322.862
2.52,322.852
2.54,322.843
2.56,322.837
2.58,322.831
2.6,322.825
2.62,322.819
2.64,322.813
2.66,322.806
2.68,322.798
2.7,322.79
2.72,322.78
2.74,322.77
2.76,322.76
2.78,322.751
2.8,322.743
2.82,322.735
2.84,322.728
2.86,322.721
2.88,322.714
2.9,322.707
2.92,322.699
2.94,322.691
2.96,322.682
2.98,322.672
3,322.663
3.02,322.654
3.04,322.646
3.06,322.639
3.08,322.632
3.1,322.626
3.12,322.619
3.14,322.612
3.16,322.604
3.18,322.596
3.2,322.587
3.22,322.578
3.24,322.569
3.26,322.56
3.28,322.552
3.3,322.544
3.32,322.536
3.34,322.529
3.36,322.522
3.38,322.515
3.4,322.507
3.42,322.499
3.44,322.49
3.46,322.481
3.48,322.471
3.5,322.461
3.52,322.452
3.54,322.445
3.56,322.438
3.58,322.431
3.6,322.424
3.62,322.417
3.64,322.409
3.66,322.402
3.68,322.393
3.7,322.384
3.72,322.375
3.74,322.367
3.76,322.358
3.78,322.349
3.8,322.341
3.82,322.333
3.84,322.326
3.86,322.319
3.88,322.311
3.9,322.304
3.92,322.295
3.94,322.287
3.96,322.279
3.98,322.271
4,322.262
4.02,322.254
4.04,322.246
4.06,322.238
4.08,322.231
4.1,322.224
4.12,322.217
4.14,322.21
4.16,322.203
4.18,322.196
4.2,322.188
4.22,322.18
4.24,322.171
4.26,322.162
4.28,322.153
4.3,322.144
4.32,322.136
4.34,322.128
4.36,322.121
4.38,322.114
4.4,322.107
4.42,322.1
4.44,322.092
4.46,322.085
4.48,322.077
4.5,322.068
4.52,322.059
4.54,322.051
4.56,322.042
4.58,322.034
4.6,322.025
4.62,322.017
4.64,322.009
4.66,322.002
4.68,321.995
4.7,321.989
4.72,321.982
4.74,321.975
4.76,321.967
4.78,321.959
4.8,321.951
4.82,321.943
4.84,321.934
4.86,321.926
4.88,321.918
4.9,321.91
4.92,321.903
4.94,321.896
4.96,321.888
4.98,321.881
5,321.872
5.02,321.864
5.04,321.855
5.06,321.848
5.08,321.842
5.1,321.835
5.12,321.828
5.14,321.821
5.16,321.813
5.18,321.804
5.2,321.795
5.22,321.786
5.24,321.777
5.26,321.768
5.28,321.76
5.3,321.753
5.32,321.747
5.34,321.741
5.36,321.735
5.38,321.729
5.4,321.722
5.42,321.715
5.44,321.707
5.46,321.698
5.48,321.689
5.5,321.679
5.52,321.67
5.54,321.662
5.56,321.654
5.58,321.646
5.6,321.638
5.62,321.63
5.64,321.623
5.66,321.616
5.68,321.611
5.7,321.605
5.72,321.598
5.74,321.592
5.76,321.585
5.78,321.577
5.8,321.57
5.82,321.562
5.84,321.553
5.86,321.545
5.88,321.536
5.9,321.528
5.92,321.52
5.94,321.511
5.96,321.503
5.98,321.494
6,321.486
6.02,321.478
6.04,321.469
6.06,321.461
6.08,321.453
6.1,321.445
6.12,321.438
6.14,321.431
6.16,321.424
6.18,321.417
6.2,321.409
6.22,321.401
6.24,321.391
6.26,321.382
6.28,321.373
6.3,321.366
6.32,321.359
6.34,321.353
6.36,321.347
6.38,321.34
6.4,321.332
6.42,321.324
6.44,321.316
6.46,321.308
6.48,321.3
6.5,321.293
6.52,321.286
6.54,321.28
6.56,321.273
6.58,321.266
6.6,321.26
6.62,321.252
6.64,321.244
6.66,321.236
6.68,321.228
6.7,321.22
6.72,321.213
6.74,321.206
6.76,321.198
6.78,321.191
6.8,321.184
6.82,321.177
6.84,321.169
6.86,321.161
6.88,321.152
6.9,321.144
6.92,321.135
6.94,321.127
6.96,321.12
6.98,321.113
7,321.106
7.02,321.099
