Date [s],Max:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.158
0.04,323.165
0.06,323.173
0.08,323.18
0.1,323.188
0.12,323.195
0.14,323.203
0.16,323.21
0.18,323.218
0.2,323.225
0.22,323.233
0.24,323.24
0.26,323.248
0.28,323.255
0.3,323.263
0.32,323.27
0.34,323.278
0.36,323.285
0.38,323.293
0.4,323.3
0.42,323.308
0.44,323.315
0.46,323.323
0.48,323.33
0.5,323.338
0.52,323.345
0.54,323.353
0.56,323.36
0.58,323.368
0.6,323.375
0.62,323.383
0.64,323.391
0.66,323.398
0.68,323.406
0.7,323.413
0.72,323.421
0.74,323.428
0.76,323.436
0.78,323.443
0.8,323.451
0.82,323.458
0.84,323.466
0.86,323.473
0.88,323.481
0.9,323.488
0.92,323.496
0.94,323.503
0.96,323.511
0.98,323.518
1,323.526
1.02,323.533
1.04,323.537
1.06,323.541
1.08,323.545
1.1,323.548
1.12,323.555
1.14,323.562
1.16,323.57
1.18,323.577
1.2,323.585
1.22,323.592
1.24,323.6
1.26,323.607
1.28,323.614
1.3,323.622
1.32,323.629
1.34,323.637
1.36,323.644
1.38,323.651
1.4,323.659
1.42,323.666
1.44,323.673
1.46,323.681
1.48,323.688
1.5,323.695
1.52,323.703
1.54,323.71
1.56,323.718
1.58,323.725
1.6,323.733
1.62,323.74
1.64,323.747
1.66,323.755
1.68,323.762
1.7,323.77
1.72,323.777
1.74,323.785
1.76,323.792
1.78,323.8
1.8,323.807
1.82,323.814
1.84,323.822
1.86,323.829
1.88,323.837
1.9,323.844
1.92,323.851
1.94,323.858
1.96,323.865
1.98,323.872
2,323.879
2.02,323.885
2.04,323.892
2.06,323.899
2.08,323.906
2.1,323.912
2.12,323.919
2.14,323.927
2.16,323.934
2.18,323.941
2.2,323.949
2.22,323.956
2.24,323.963
2.26,323.971
2.28,323.977
2.3,323.984
2.32,323.989
2.34,323.993
2.36,323.996
2.38,324
2.4,324.003
2.42,324.008
2.44,324.015
2.46,324.021
2.48,324.026
2.5,324.031
2.52,324.038
2.54,324.045
2.56,324.05
2.58,324.052
2.6,324.053
2.62,324.057
2.64,324.061
2.66,324.066
2.68,324.071
2.7,324.076
2.72,324.082
2.74,324.087
2.76,324.093
2.78,324.098
2.8,324.103
2.82,324.109
2.84,324.115
2.86,324.122
2.88,324.128
2.9,324.134
2.92,324.14
2.94,324.144
2.96,324.15
2.98,324.154
3,324.16
3.02,324.165
3.04,324.168
3.06,324.171
3.08,324.173
3.1,324.173
3.12,324.173
3.14,324.17
3.16,324.169
3.18,324.166
3.2,324.168
3.22,324.17
3.24,324.172
3.26,324.172
3.28,324.174
3.3,324.177
3.32,324.181
3.34,324.186
3.36,324.191
3.38,324.196
3.4,324.202
3.42,324.207
3.44,324.213
3.46,324.218
3.48,324.222
3.5,324.227
3.52,324.231
3.54,324.236
3.56,324.241
3.58,324.243
3.6,324.245
3.62,324.25
3.64,324.256
3.66,324.261
3.68,324.267
3.7,324.273
3.72,324.279
3.74,324.285
3.76,324.29
3.78,324.294
3.8,324.298
3.82,324.298
3.84,324.299
3.86,324.298
3.88,324.296
3.9,324.29
3.92,324.27
3.94,324.27
3.96,324.275
3.98,324.279
4,324.282
4.02,324.285
4.04,324.285
4.06,324.285
4.08,324.285
4.1,324.287
4.12,324.288
4.14,324.287
4.16,324.283
4.18,324.275
4.2,324.266
4.22,324.265
4.24,324.267
4.26,324.27
4.28,324.272
4.3,324.273
4.32,324.274
4.34,324.273
4.36,324.273
4.38,324.272
4.4,324.272
4.42,324.274
4.44,324.276
4.46,324.279
4.48,324.284
4.5,324.289
4.52,324.294
4.54,324.298
4.56,324.302
4.58,324.307
4.6,324.312
4.62,324.316
4.64,324.321
4.66,324.326
4.68,324.33
4.7,324.332
4.72,324.334
4.74,324.339
4.76,324.343
4.78,324.344
4.8,324.346
4.82,324.348
4.84,324.351
4.86,324.354
4.88,324.358
4.9,324.363
4.92,324.369
4.94,324.374
4.96,324.38
4.98,324.384
5,324.388
5.02,324.391
5.04,324.391
5.06,324.388
5.08,324.383
5.1,324.374
5.12,324.363
5.14,324.354
5.16,324.352
5.18,324.346
5.2,324.334
5.22,324.323
5.24,324.317
5.26,324.309
5.28,324.289
5.3,324.277
5.32,324.263
5.34,324.244
5.36,324.221
5.38,324.196
5.4,324.172
5.42,324.149
5.44,324.134
5.46,324.135
5.48,324.137
5.5,324.14
5.52,324.143
5.54,324.145
5.56,324.147
5.58,324.149
5.6,324.149
5.62,324.147
5.64,324.146
5.66,324.145
5.68,324.143
5.7,324.141
5.72,324.139
5.74,324.136
5.76,324.133
5.78,324.131
5.8,324.128
5.82,324.124
5.84,324.12
5.86,324.116
5.88,324.11
5.9,324.105
5.92,324.099
5.94,324.093
5.96,324.086
5.98,324.083
6,324.08
6.02,324.082
6.04,324.086
6.06,324.089
6.08,324.094
6.1,324.097
6.12,324.101
6.14,324.105
6.16,324.109
6.18,324.113
6.2,324.114
6.22,324.116
6.24,324.118
6.26,324.119
6.28,324.115
6.3,324.108
6.32,324.099
6.34,324.087
6.36,324.075
6.38,324.056
6.4,324.041
6.42,324.026
6.44,324.016
6.46,324.012
6.48,324.008
6.5,324.003
6.52,323.997
6.54,323.988
6.56,323.984
6.58,323.983
6.6,323.981
6.62,323.978
6.64,323.973
6.66,323.972
6.68,323.969
6.7,323.967
6.72,323.965
6.74,323.963
6.76,323.959
6.78,323.956
6.8,323.951
6.82,323.944
6.84,323.933
6.86,323.922
6.88,323.912
6.9,323.903
6.92,323.892
6.94,323.88
6.96,323.864
6.98,323.852
7,323.845
7.02,323.842
7.04,323.838
7.06,323.83
7.08,323.824
7.1,323.826
7.12,323.826
7.14,323.824
7.16,323.821
7.18,323.818
7.2,323.814
7.22,323.81
7.24,323.806
7.26,323.803
7.28,323.8
7.3,323.799
7.32,323.799
7.34,323.8
7.36,323.801
7.38,323.801
7.4,323.799
7.42,323.797
7.44,323.794
7.46,323.793
7.48,323.79
7.5,323.782
7.52,323.771
7.54,323.762
7.56,323.753
7.58,323.743
7.6,323.732
7.62,323.722
7.64,323.712
7.66,323.703
7.68,323.693
7.7,323.679
7.72,323.665
7.74,323.656
7.76,323.648
7.78,323.644
7.8,323.645
7.82,323.648
7.84,323.65
7.86,323.653
7.88,323.655
7.9,323.656
7.92,323.655
7.94,323.653
7.96,323.649
7.98,323.646
8,323.64
8.02,323.63
8.04,323.622
8.06,323.615
8.08,323.607
8.1,323.598
8.12,323.585
8.14,323.577
8.16,323.571
8.18,323.567
8.2,323.562
8.22,323.558
8.24,323.554
8.26,323.55
8.28,323.545
8.3,323.54
8.32,323.534
8.34,323.528
8.36,323.521
8.38,323.515
8.4,323.514
8.42,323.515
8.44,323.517
8.46,323.52
8.48,323.523
8.5,323.527
8.52,323.531
8.54,323.536
8.56,323.54
8.58,323.544
8.6,323.548
8.62,323.55
8.64,323.549
8.66,323.548
8.68,323.548
8.7,323.548
8.72,323.547
8.74,323.543
8.76,323.539
8.78,323.532
8.8,323.523
8.82,323.513
8.84,323.502
8.86,323.48
8.88,323.454
8.9,323.434
8.92,323.42
8.94,323.409
8.96,323.397
8.98,323.386
9,323.375
9.02,323.364
9.04,323.351
9.06,323.351
9.08,323.351
9.1,323.35
9.12,323.348
9.14,323.343
9.16,323.337
9.18,323.331
9.2,323.325
9.22,323.319
9.24,323.314
9.26,323.309
9.28,323.303
9.3,323.298
9.32,323.292
9.34,323.287
9.36,323.282
9.38,323.279
9.4,323.277
9.42,323.276
9.44,323.277
9.46,323.279
9.48,323.282
9.5,323.284
9.52,323.286
9.54,323.287
9.56,323.288
9.58,323.288
9.6,323.287
9.62,323.282
9.64,323.276
9.66,323.27
9.68,323.266
9.7,323.256
9.72,323.247
9.74,323.238
9.76,323.22
9.78,323.194
9.8,323.193
9.82,323.194
9.84,323.194
9.86,323.191
9.88,323.19
9.9,323.184
9.92,323.175
9.94,323.166
9.96,323.16
9.98,323.159
10,323.16
