Date [s],Min:Temperature (Study 01 - Particles) [K]
0,323.15
0.02,323.127
0.04,323.116
0.06,323.103
0.08,323.095
0.1,323.088
0.12,323.083
0.14,323.082
0.16,323.083
0.18,323.072
0.2,323.057
0.22,323.041
0.24,323.023
0.26,323.002
0.28,322.977
0.3,322.95
0.32,322.921
0.34,322.891
0.36,322.858
0.38,322.824
0.4,322.788
0.42,322.75
0.44,322.711
0.46,322.67
0.48,322.627
0.5,322.583
0.52,322.537
0.54,322.49
0.56,322.441
0.58,322.39
0.6,322.338
0.62,322.285
0.64,322.23
0.66,322.174
0.68,322.117
0.7,322.058
0.72,321.998
0.74,321.936
0.76,321.873
0.78,321.809
0.8,321.743
0.82,321.676
0.84,321.608
0.86,321.538
0.88,321.468
0.9,321.396
0.92,321.324
0.94,321.25
0.96,321.175
0.98,321.098
1,321.021
1.02,320.943
1.04,320.863
1.06,320.781
1.08,320.7
1.1,320.617
1.12,320.531
1.14,320.442
1.16,320.35
1.18,320.255
1.2,320.157
1.22,320.059
1.24,319.962
1.26,319.866
1.28,319.77
1.3,319.674
1.32,319.577
1.34,319.48
1.36,319.382
1.38,319.285
1.4,319.185
1.42,319.083
1.44,318.977
1.46,318.87
1.48,318.761
1.5,318.651
1.52,318.54
1.54,318.434
1.56,318.331
1.58,318.231
1.6,318.136
1.62,318.039
1.64,317.941
1.66,317.842
1.68,317.741
1.7,317.638
1.72,317.527
1.74,317.413
1.76,317.302
1.78,317.2
1.8,317.104
1.82,317.011
1.84,316.917
1.86,316.826
1.88,316.741
1.9,316.662
1.92,316.584
1.94,316.503
1.96,316.42
1.98,316.332
2,316.235
2.02,316.131
2.04,316.025
2.06,315.927
2.08,315.837
2.1,315.764
2.12,315.703
2.14,315.647
2.16,315.585
2.18,315.513
2.2,315.436
2.22,315.359
2.24,315.313
2.26,315.301
2.28,315.31
2.3,315.235
2.32,315.152
2.34,315.064
2.36,314.971
2.38,314.908
2.4,314.872
2.42,314.846
2.44,314.768
2.46,314.687
2.48,314.608
2.5,314.535
2.52,314.466
2.54,314.396
2.56,314.32
2.58,314.238
2.6,314.147
2.62,314.054
2.64,313.956
2.66,313.856
2.68,313.76
2.7,313.671
2.72,313.586
2.74,313.502
2.76,313.418
2.78,313.339
2.8,313.267
2.82,313.195
2.84,313.114
2.86,313.024
2.88,312.933
2.9,312.844
2.92,312.761
2.94,312.707
2.96,312.688
2.98,312.658
3,312.619
3.02,312.588
3.04,312.563
3.06,312.583
3.08,312.628
3.1,312.679
3.12,312.732
3.14,312.785
3.16,312.757
3.18,312.688
3.2,312.616
3.22,312.544
3.24,312.476
3.26,312.427
3.28,312.378
3.3,312.313
3.32,312.248
3.34,312.18
3.36,312.112
3.38,312.045
3.4,311.98
3.42,311.916
3.44,311.854
3.46,311.794
3.48,311.734
3.5,311.675
3.52,311.617
3.54,311.556
3.56,311.491
3.58,311.422
3.6,311.345
3.62,311.276
3.64,311.213
3.66,311.15
3.68,311.087
3.7,311.036
3.72,311.005
3.74,310.968
3.76,310.937
3.78,310.913
3.8,310.892
3.82,310.881
3.84,310.884
3.86,310.898
3.88,310.927
3.9,310.963
3.92,311.007
3.94,311.057
3.96,311.078
3.98,311.044
4,311.033
4.02,311.039
4.04,311.063
4.06,311.101
4.08,311.143
4.1,311.193
4.12,311.248
4.14,311.303
4.16,311.359
4.18,311.413
4.2,311.428
4.22,311.37
4.24,311.313
4.26,311.257
4.28,311.201
4.3,311.143
4.32,311.084
4.34,311.023
4.36,310.954
4.38,310.877
4.4,310.796
4.42,310.724
4.44,310.674
4.46,310.66
4.48,310.635
4.5,310.601
4.52,310.56
4.54,310.533
4.56,310.492
4.58,310.485
4.6,310.502
4.62,310.54
4.64,310.593
4.66,310.654
4.68,310.717
4.7,310.782
4.72,310.846
4.74,310.908
4.76,310.969
4.78,311.027
4.8,311.084
4.82,311.138
4.84,311.188
4.86,311.236
4.88,311.279
4.9,311.31
4.92,311.248
4.94,311.181
4.96,311.109
4.98,311.038
5,310.969
5.02,310.907
5.04,310.872
5.06,310.846
5.08,310.842
5.1,310.849
5.12,310.863
5.14,310.887
5.16,310.91
5.18,310.931
5.2,310.953
5.22,310.981
5.24,311.006
5.26,311.042
