Timestep , Time value
0 ,  1.99446e-002
   X-Coord   ,    Y-Coord   ,    Z-Coord   ,  Distance , water_temperature
0.00000e+000 , 8.00000e-001 , 0.00000e+000 , 8.00000e-001 , 3.00000e+002
0.00000e+000 , 7.83673e-001 , 0.00000e+000 , 7.83673e-001 , 3.00000e+002
0.00000e+000 , 7.67347e-001 , 0.00000e+000 , 7.67347e-001 , 3.00000e+002
0.00000e+000 , 7.51020e-001 , 0.00000e+000 , 7.51020e-001 , 3.00000e+002
0.00000e+000 , 7.34694e-001 , 0.00000e+000 , 7.34694e-001 , 3.00000e+002
0.00000e+000 , 7.18367e-001 , 0.00000e+000 , 7.18367e-001 , 3.00000e+002
0.00000e+000 , 7.02041e-001 , 0.00000e+000 , 7.02041e-001 , 3.00000e+002
0.00000e+000 , 6.85714e-001 , 0.00000e+000 , 6.85714e-001 , 3.00000e+002
0.00000e+000 , 6.69388e-001 , 0.00000e+000 , 6.69388e-001 , 3.00000e+002
0.00000e+000 , 6.53061e-001 , 0.00000e+000 , 6.53061e-001 , 3.00000e+002
0.00000e+000 , 6.36735e-001 , 0.00000e+000 , 6.36735e-001 , 3.00000e+002
0.00000e+000 , 6.20408e-001 , 0.00000e+000 , 6.20408e-001 , 3.00000e+002
0.00000e+000 , 6.04082e-001 , 0.00000e+000 , 6.04082e-001 , 3.00000e+002
0.00000e+000 , 5.87755e-001 , 0.00000e+000 , 5.87755e-001 , 3.00000e+002
0.00000e+000 , 5.71429e-001 , 0.00000e+000 , 5.71429e-001 , 3.00000e+002
0.00000e+000 , 5.55102e-001 , 0.00000e+000 , 5.55102e-001 , 3.00000e+002
0.00000e+000 , 5.38776e-001 , 0.00000e+000 , 5.38776e-001 , 3.00000e+002
0.00000e+000 , 5.22449e-001 , 0.00000e+000 , 5.22449e-001 , 3.00000e+002
0.00000e+000 , 5.06122e-001 , 0.00000e+000 , 5.06122e-001 , 3.00000e+002
0.00000e+000 , 4.89796e-001 , 0.00000e+000 , 4.89796e-001 , 3.00000e+002
